cell_number,character_count,line_count,return,for,if,using
8,74,1,0,0,0,0
10,50,2,0,0,0,0
12,37,1,0,1,0,0
14,68,4,0,0,0,0
16,186,6,0,1,0,0
19,466,22,2,1,3,0
20,143,3,0,0,0,0
23,185,6,0,0,0,1
25,52,2,0,0,0,0
26,75,2,0,0,0,0
28,96,5,0,0,0,1
31,235,5,0,0,0,2
32,78,1,0,0,0,1
34,97,5,0,0,0,1
39,461,16,1,2,0,1
40,33,1,0,0,0,0
41,41,2,0,0,0,0
42,86,2,0,0,0,1
43,499,14,1,3,0,0
44,33,1,0,0,0,0
45,98,2,0,0,0,0
46,337,12,1,2,0,0
47,33,1,0,0,0,0
48,188,3,0,1,0,0
49,458,14,1,2,0,0
50,33,1,0,0,0,0
51,137,2,0,1,0,0
54,56,5,0,1,0,0
56,38,3,0,0,0,0
58,87,9,0,0,0,0
60,134,8,0,0,0,0
62,103,10,2,0,1,0
64,79,7,0,0,0,0
