cell_number,character_count,line_count,#,##,###,####
1,617,9,2,1,0,0
2,12,1,0,0,1,0
3,352,6,0,0,0,0
4,15,1,0,0,1,0
5,223,7,0,0,0,0
6,77,2,0,0,1,0
7,12,1,0,0,1,0
9,12,1,0,0,1,0
11,12,1,0,0,1,0
13,13,1,0,0,1,0
15,13,1,0,0,1,0
17,27,1,0,1,0,0
18,452,7,0,0,0,0
21,146,2,0,0,1,0
22,38,1,0,0,0,0
24,1130,30,0,0,4,0
27,187,3,0,0,1,0
29,225,1,0,0,0,0
30,395,3,0,0,1,0
33,34,2,0,0,1,0
35,135,2,0,0,1,0
36,47,1,1,0,0,0
37,418,5,0,0,0,0
38,337,6,0,0,1,0
52,140,1,1,0,0,0
53,12,1,0,0,1,0
55,12,1,0,0,1,0
57,12,1,0,0,1,0
59,12,1,0,0,1,0
61,12,1,0,0,1,0
63,12,1,0,0,1,0
